Western Cape COVID-19 Cases Allocated to Suburbs. 1 June 2020,
WC- Suburbs,COVID-19 cases
Unallocated,2625
Guguletu,960
NYANGA,542
Khayelitsha,530
Philippi,506
Leiden,491
Langa,440
Mfuleni,394
MASIPHUMELELE,308
Delft,269
Browns Farms,259
Delft South,243
Crossroads,234
Dunoon,218
Ilitha Park,216
Weltevreden Valley North,214
Mandela Park,213
MBEKWENI,209
Wallace Dene,206
Harare,197
Ikwezi Park,186
Manenberg,181
Lentegeur,180
Trevor Vilakazi,165
Lotus River,165
Ravensmead,160

Tafelsig,159
Kuyasa,157
Mandalay,153
Bloekombos,153
Town 3 Village 5,150
De La Haye,148
Bishop Lavis,144
Town 3 Village 3,143
Macassar,131
Gatesville,127
Eyethu,126
Khaya,124
Strand,123
RETREAT,119
Zweletemba,118
Portland,118
Bonteheuwel,117
Grassy Park,113
Nduli,112
Hanover Park,99
WESBANK,95
Beacon Valley,94
LANSDOWNE,93
Imizamo Yethu,92
Kuils River,89
Nonqubela,87
Parklands,86
Wynberg,83
Observatory,83
Scottsdene,77
Woodstock,75
Rocklands,75
Victoria Mxenge,75
Kaya Mandi,74
Ocean View,73
Kenilworth,73
Eastridge,73
Westridge,71
Strandfontein,71
Heideveld,70
LWANDLE,67
Steenberg,66
Groenheuwel,65
Cape Town City Centre,65
Parow,64
Matroosfontein,64
Belhar,63
RONDEBOSCH,62
Maitland,62
PINELANDS,61

Claremont,61
Malibu Village,60
Bellville South,58
Voorbrug,57
SAREPTA,56
Woodlands,56
Scottsville,56
UITSIG,55
Mitchells Plain Centre,55
Fresnaye,55
Asanda,55
Roosendal,53
OTTERY,53
FISANTEKRAAL,53
Bellville,51
Plumstead,49
RYLANDS,49
Somerset West,49
Pelikan Park,49
Strandfontein Village,48
Valhalla Park,47
Salt River,47
Silver Town,47
Silvertown,47
MILNERTON,46
Cravenby,46
Vredehoek,44
Town 3 Village 2,44
Gardens,44
Ruyterwacht,43
Sea Point,43
Brooklyn,43
EERSTE RIVER,43
Paarl,42
Bridgetown,42
Bella Vista,42
Eureka Estate,42
Surrey,41
Hout Bay,41
Parkwood,41
Athlone,41
Klein Nederburg,40
Northpine,40
Forest Village,40
Bellville Central,40
Griffiths Mxenge,39
Joe Slovo Park,39
Belmont Park,39
Schotschekloof,38
Summer Greens,38

Nomzamo,38
Kensington,38
Saxonsea,37
Kraaifontein,37
Panorama,37
CAPRICORN,37
Town 3 Village 4,36
New Woodlands,36
Goodwood Estate,36
The Hague,35
Green Point,35
Balvenie,35
Fish Hoek,35
CERES,35
Robinvale,34
KALKFONTEIN,34
Parow Valley,34
Sunnydale,33
Newlands,33
Leonsdale,32
Wellington,31
Belhar 13,31
Bothasig,31
Townsend Estate,30
Rondebosch East,30
THEMBALETHU,30
Kewtown,30
Avondale,30
Cloetesville,30
KLEINVLEI,29
Belgravia,29
Bongweni,29
Belhar 18,28
Protea Heights,27
Sillwood Heights,27
Newtown,27
New Orleans,27
Boston,27
Porterville,26
Salberau,26
Van Wyks Vlei,26
Heather Park,26
New Rest,26
BERNADINO HEIGHTS,26
Colorado,26
Edgemead,26
Belhar 16,26
Solomon Mahlangu,25
Hyde Park,25
Eikendal,25

Hazendal,24
Hexpark,24
Muizenberg,24
Boquinar Industrial Area,24
Durbanville,24
Diazville,24
Zonnebloem,23
Protea Park,23
Mowbray,23
HIGHBURY,23
DENNEMERE,23
Glenlily,23
Witsand,22
SEAWINDS,22
Mamre,22
Avian Park,22
Connaught,22
Beverly Park,22
Drift Sands,22
Weltevreden Valley,21
VRYGROND,21
Rosebank,21
Phoenix,21
Roodewal,21
Devon Park Village,21
Wetton,20
Table View,20
Rosedale,20
Heinz Park,20
ORANJEZICHT,20
Morgenster,20
Grabouw,20
Beach Estate,20
Amstelhof,20
Century City,20
Klapmuts,19
Fairfield Estate,19
Fairdale,19
Westlake,18
Vasco Estate,18
Vanguard,18
MONTANA,18
BROADLANDS,18
Greenfields,18
Ekuphumleni,18
Rugby,17
KTC,17
Nkqubela,17
Lantana,17
Charleston Hill,17

Belhar 19,17
Rusthof,16
Stellenbosch,16
Rondevlei Park,16
Southfield,16
Malmesbury,16
Louwville,16
HAPPY VALLEY,16
Oakdale,16
Beaconhill,16
Clarkes Estate,16
Gaylee,16
Graceland,16
Endlovini,16
Prince Alfred Hamlet,15
Wellington Central,15
RIVERVIEW,15
White City,15
Sherwood,15
Zwelihle,15
Idasvallei,15
Bellville South Ext 13,15
GOUDA,15
Camps Bay,15
Epping Industria 2,15
Victoria Park,14
Worcester Central,14
Riverton,14
Westgate,14
Kommetjie,14
Norwood,14
Oakglen,14
Le Roux,14
Newfields,14
Lavender Hill,14
Brackenfell South,14
ELECTRIC CITY,14
CAMELOT,14
Burgundy,14
Belhar 2,14
Zeekoei Vlei,13
Stellenbosch Central,13
Witzenville,13
V & A Waterfront,13
Richmond Estate,13
Tembani,13
Peerless Park East,13
High Places,13
Kirstenhof,13
Monte Vista,13

Burgundy Estate,13
Forest Heights,13
Brackenfell Central,13
Belhar 20,13
Darling,13
Esselen Park,13
Belhar 21,13
Epping Forest,13
Worcester,12
Pine Valley,12
Sonstraal Heights,12
Silversands,12
POLLSMOOR,12
Kalksteenfontein,12
Ikwezipark,12
Loevenstein,12
Highbury Park,12
Ilinge Lethu,12
Hillcrest Heights,12
Perm Gardens,12
Devon Park,12
CRAWFORD,12
Avonwood,12
Churchill Estate,12
Durheim,12
De Doorns,12
Saldanha,11
Thornton,11
Plettenberg Bay,11
WELGEMOED,11
Windermere,11
SERCOR PARK,11
Paarl Central East,11
Parow East,11
Pacaltsdorp,11
Peerless Park West,11
Kanana,11
Oudtshoorn,11
De Oude Spruit,11
Elfindale,11
Belhar 7,11
Diep River,11
Belhar 23,11
Bel Ombre,11
Bellair,11
Sanlamhof,10
Vredekloof,10
Sonkring,10
Sanddrift,10
SARON,10

Windsor Park,10
The Range,10
Monte Bertha,10
Nooitgedacht,10
Morningstar,10
Erica Township,10
Belhar 11,10
Bot River,10
Bonnievale,10
Blue Downs,10
Bishopscourt,10
Belhar 14,10
TOKAI,9
Tamboerskloof,9
Tulbagh,9
Van Riebeeckshof,9
Summerville,9
Morgans Village,9
Killarney Gardens,9
Mandela Square,9
Marina Da Gama,9
Bardale Village,9
Belhar 6,9
Bergvliet,9
De Waterkant,9
Devils Peak Estate,9
Blackheath Industrial,9
Belhar 4,9
FAURE,9
Town 2 Village 2A,8
Village On Sea,8
Valmary Park,8
STELLENBERG,8
West Beach,8
SYBRANDPARK,8
Riebeek West,8
Heathfield,8
Paarden Eiland,8
Knysna,8
Parow North,8
Bergsig,8
CONSTANTIA,8
Broadlands Village,8
Firgrove,8
Gordons Bay,8
Austinville,8
De Kuilen,8
Bakoven,8
Richwood,7
Rustdal,7

Three Anchor Bay,7
Soneike,7
Vogelvlei (Wesbank),7
Southern Paarl,7
The Conifers,7
Stratford Green,7
Russels Rest,7
SUNBIRD PARK,7
Valhalla,7
Sunningdale,7
Phola Park,7
Sunset Beach,7
Park Village,7
Kylemore,7
Mabille Park,7
Klipkop,7
Mountain,7
Hangberg,7
Parkersdam,7
Klein Parys,7
Imhofs Gift,7
N1 City,7
Hugenot,7
LAINGVILLE,7
Bridgeton,7
Fairways,7
Barcelona,7
Bosonia,7
Eversdal,7
ELGIN,7
Elsies River Industrial,7
Eindhoven,7
GARDEN VILLAGE,7
BONNIE BRAE,7
Caledon,7
Diepwater (Wesbank),7
Charlesville,7
Uitzicht,6
Vredendal,6
Riverside,6
Philippi Park,6
Tyger Valley,6
Sonstraal,6
WELTEVREDE,6
Rusfontein,6
Wimbledon Estate,6
Plattekloof Glen,6
Robertson,6
PNIEL,6
Plattekloof 2,6

Swellendam,6
PINEVIEW,6
Tygerdal,6
Penlyn Estate,6
Groenvallei,6
Napier,6
Onrus River,6
Hillcrest,6
Hermanus,6
North Camp Wingfield,6
Mossel Bay,6
Langvlei,6
Lagoon Beach,6
Peerless Park North,6
Paarl Central West,6
Kalk Bay,6
Kingston,6
Kraaifontein East,6
Noordhoek,6
HOPLAND,6
Gleemoor,6
Brentwood Park,6
Belrail,6
Greenlands,6
Gill Cape,6
Anchorage Park,6
Glenhaven,6
Fountain Village,6
Goniwe Park,6
Franschhoek,6
Barbarossa,6
Buh-Rein Estate,6
Elnor,6
Wembley Park,5
Plattekloof 1,5
Wolseley,5
Somerset Park,5
Wellway Park East,5
Silverhurst,5
Sun City,5
Table Mountain (Nature Reserve),5
Welcome,5
Railton,5
Wellington North,5
Ridgeworth,5
WELTEVREDEN,5
Villiersdorp,5
White Location,5
SUN VALLEY,5
Windsor Park Estate,5

Vredelust,5
Walmer Estate,5
Worcester West,5
Oude Westhof,5
Ongegund,5
Lakeside,5
Moorreesburg,5
Jagtershof,5
Mount Pleasant,5
Levallia,5
Mountview,5
Hout Bay Heights,5
Capri,5
Bellville Lot 6,5
GREENHAVEN,5
Dal Josafat Industrial,5
Die Bos,5
Bellville Lot 3,5
Denneburg,5
Genadendal 1,5
Bantry Bay,5
Flamingo Vlei,5
Costa Da Gama,5
De Tijger,5
Belhar 3,5
De Doorns East,5
Bay View,5
Adriaanse,5
Goedemoed,5
Bloubergstrand,5
Chrismar,5
The Crest,4
Vredenberg,4
Rosemore,4
Welgelegen 3,4
Tuscany Glen,4
Stikland Hospital,4
Westcliff,4
Romp Vlei,4
Rosendal,4
ROBOLOLO,4
The Vines,4
Pine Place,4
Rogge Bay,4
Smartie Town,4
Viking Village,4
Lamberts Bay,4
Jacarandas,4
Langebaan,4
Milky Town,4

Greenville Garden City,4
Horstmandale,4
Heldervue,4
Knole Park,4
Onverwacht,4
Kalbaskraal,4
Heatherlands,4
Melkbosstrand,4
Johnsons Park,4
Greenways Golf Estate,4
Hill View,4
Belhar 12,4
George,4
Greater Chatsworth,4
Chicago,4
Atlantis Industrial,4
Amandelsig,4
Blanco,4
Ferndale,4
Bellville Lot 5,4
Alphen,4
Belhar 10,4
Clifton,4
Bellville South Ext 14,4
Florida,4
Abbotsdale,4
DURBANVILLE HILLS,4
University Estate,3
Vierlanden,3
Scott Estate,3
Silverhurst Estate,3
Seaview Park,3
Protea Valley,3
West Riding,3
Vygeboom,3
Sirroccos,3
WALLACEDENE,3
Tennantville,3
Transnet Marshalling Yard,3
Rosenhof,3
Washington Square,3
Pinehurst,3
Stellenryk,3
Van Der Stel,3
Welgedacht Country Estate,3
Riversdale,3
Turf Hall Estate,3
Pinati,3
Welgevonden Estate,3
Witteklip,3

Zwartdam,3
Woodbridge Island,3
Pine Acres,3
Plattekloof 3,3
ST JAMES,3
Stellenbosch Farms,3
Uniepark,3
Vermont,3
Hoogstede,3
Milnerton Ridge,3
Kwanonqaba,3
New Horizons,3
Palm Park,3
Hout Bay Harbour,3
Knysna Central,3
Montevideo,3
Maniesoord,3
Llandudno,3
HELDERZICHT,3
Lochnerhof,3
Houghton,3
LOST CITY,3
Langeberg Smallholdings,3
Heidelberg,3
Langerug,3
Monwabisi,3
Kempenville,3
Northern Paarl,3
Mansfield,3
Klipheuwel,3
Outside,3
Nova Constantia,3
Highgate,3
Kwanokuthula,3
Lawaaikamp,3
Hartenbos,3
Kaapzicht,3
Oakdene,3
La Rochelle,3
Morgenster Hoogte,3
Lochiel,3
