date,cumulative_cases,recoveries,deaths_daily,cumulative_deaths,active_cases,week_label,week_no,cumulative_tests,tests_daily,cases_daily,perc_positive,test_thousand,weekly_tests,weekly_cases,tests_per_case,seven_day_tests,seven_day_positives,seven_day_average,case_fatality_rate,fatalities_seven_days,fatalities_seven_days_average,public_tests,private_tests,new_public_tests,new_private_tests

05-03-2020,1,0,0,0,1,,0,,,1,,,,,,0,0,,0.0%,0,,0,0,0,0
06-03-2020,1,0,0,0,1,6-12 Mar,1,200,200,0,0.0%,0,,,,0,0,,,0,,0,0,0,0
07-03-2020,2,0,0,0,2,6-12 Mar,1,241,41,1,2.4%,24,,,,0,0,,0.0%,0,,0,0,0,0
08-03-2020,3,0,0,0,3,6-12 Mar,1,241,0,1,,,,,,0,0,,0.0%,0,,0,0,0,0
09-03-2020,7,0,0,0,7,6-12 Mar,1,241,0,4,,,,,,0,0,,0.0%,0,,0,0,0,0
10-03-2020,7,0,0,0,7,6-12 Mar,1,241,0,0,,#DIV/0!,,,,0,0,,,0,,0,0,0,0
11-03-2020,13,0,0,0,13,6-12 Mar,1,645,404,11,2.7%,27,,,,404,11,2.72%,0.0%,0,0.0%,0,0,0,0
12-03-2020,16,0,0,0,16,6-12 Mar,1,848,203,3,1.5%,15,848,20,42,607,14,2.31%,0.0%,0,0.0%,0,0,0,0
13-03-2020,24,0,0,0,24,13-19 Mar,2,924,76,8,10.5%,105,,,,683,22,3.22%,0.0%,0,0.0%,0,0,0,0
14-03-2020,38,0,0,0,38,13-19 Mar,2,1017,93,14,15.1%,151,,,,776,36,4.64%,0.0%,0,0.0%,0,0,0,0
15-03-2020,51,0,0,0,51,13-19 Mar,2,1476,459,13,2.8%,28,,,,1235,49,3.97%,0.0%,0,0.0%,0,0,0,0
16-03-2020,62,0,0,0,62,13-19 Mar,2,2405,929,11,1.2%,12,,,,2164,60,2.77%,0.0%,0,0.0%,0,0,0,0
17-03-2020,85,0,0,0,85,13-19 Mar,2,2911,506,23,4.5%,45,,,,2670,83,3.11%,0.0%,0,0.0%,0,0,0,0
18-03-2020,116,0,0,0,116,13-19 Mar,2,3070,159,31,19.5%,195,,,,2425,103,4.25%,0.0%,0,0.0%,0,0,0,0
19-03-2020,150,0,0,0,150,13-19 Mar,2,4832,1762,34,1.9%,19,3984,134,30,3984,134,3.36%,0.0%,0,0.0%,0,0,0,0
20-03-2020,202,0,0,0,202,20-26 Mar,3,6438,1606,52,3.2%,32,,,,5514,178,3.23%,0.0%,0,0.0%,0,0,0,0
21-03-2020,240,0,0,0,240,20-26 Mar,3,7425,987,38,3.9%,39,,,,6408,202,3.15%,0.0%,0,0.0%,0,0,0,0
22-03-2020,274,0,0,0,274,20-26 Mar,3,9315,1890,34,1.8%,18,,,,7839,223,2.84%,0.0%,0,0.0%,0,0,0,0
